c,d,n,k,r,gen_time,solve_time,valid,sel_len
12,12,100,10,5,0.3118417263031006,0.019634008407592773,Y,3799
12,12,100,10,5,0.294769287109375,0.011484146118164062,Y,3799
12,12,100,10,5,0.2893052101135254,0.0001571178436279297,Y,3799
12,12,100,10,5,0.28908586502075195,5.4836273193359375e-05,Y,3799
12,12,100,10,5,0.293485164642334,0.01984405517578125,Y,3807
12,12,100,10,5,0.29073405265808105,0.011522054672241211,Y,3807
12,12,100,10,5,0.2876870632171631,0.00015997886657714844,Y,3807
12,12,100,10,5,0.2880098819732666,5.888938903808594e-05,Y,3807
12,12,100,10,5,0.2953982353210449,0.017400026321411133,Y,3842
12,12,100,10,5,0.2941422462463379,0.01238393783569336,Y,3842
12,12,100,10,5,0.290999174118042,0.0001590251922607422,Y,3842
12,12,100,10,5,0.29000186920166016,5.1975250244140625e-05,Y,3842
12,12,100,10,5,0.2946789264678955,0.017220020294189453,Y,3788
12,12,100,10,5,0.3011810779571533,0.012335062026977539,Y,3788
12,12,100,10,5,0.29034423828125,0.0001671314239501953,Y,3788
12,12,100,10,5,0.3036806583404541,5.602836608886719e-05,Y,3788
12,12,100,10,5,0.3000297546386719,0.015727996826171875,Y,3811
12,12,100,10,5,0.2964820861816406,0.011181116104125977,Y,3811
12,12,100,10,5,0.2965409755706787,0.00016808509826660156,Y,3811
12,12,100,10,5,0.29503726959228516,8.225440979003906e-05,Y,3811
12,12,100,10,5,0.31574416160583496,0.029146194458007812,Y,3842
12,12,100,10,5,0.30739307403564453,0.012230157852172852,Y,3842
12,12,100,10,5,0.2994370460510254,0.0001552104949951172,Y,3842
12,12,100,10,5,0.2923281192779541,5.507469177246094e-05,Y,3842
12,12,100,10,5,0.3020470142364502,0.019615888595581055,Y,3792
12,12,100,10,5,0.30715012550354004,0.012781143188476562,Y,3792
12,12,100,10,5,0.30339694023132324,0.00016260147094726562,Y,3792
12,12,100,10,5,0.2960209846496582,4.982948303222656e-05,Y,3792
12,12,100,10,5,0.3035290241241455,0.019173145294189453,Y,3780
12,12,100,10,5,0.30274081230163574,0.01447916030883789,Y,3780
12,12,100,10,5,0.3056371212005615,0.00017309188842773438,Y,3780
12,12,100,10,5,0.30189990997314453,5.91278076171875e-05,Y,3780
12,12,100,10,5,0.3046720027923584,0.01860809326171875,Y,3791
12,12,100,10,5,0.31844401359558105,0.011742830276489258,Y,3791
12,12,100,10,5,0.30490994453430176,0.00016021728515625,Y,3791
12,12,100,10,5,0.30374908447265625,5.602836608886719e-05,Y,3791
12,12,100,10,5,0.3079559803009033,0.022575855255126953,Y,3817
12,12,100,10,5,0.3081700801849365,0.01254582405090332,Y,3817
12,12,100,10,5,0.31864094734191895,0.00016498565673828125,Y,3817
12,12,100,10,5,0.3082270622253418,5.507469177246094e-05,Y,3817
12,12,100,10,5,0.30853986740112305,0.018404006958007812,Y,3829
12,12,100,10,5,0.3088209629058838,0.015587806701660156,Y,3829
12,12,100,10,5,0.3104817867279053,0.00016498565673828125,Y,3829
12,12,100,10,5,0.3087286949157715,5.3882598876953125e-05,Y,3829
12,12,100,10,5,0.32045602798461914,0.018594741821289062,Y,3796
12,12,100,10,5,0.3143601417541504,0.012215852737426758,Y,3796
12,12,100,10,5,0.31125307083129883,0.000164031982421875,Y,3796
12,12,100,10,5,0.30684518814086914,6.127357482910156e-05,Y,3796
12,12,100,10,5,0.3120410442352295,0.016433000564575195,Y,3824
12,12,100,10,5,0.3206450939178467,0.01093602180480957,Y,3824
12,12,100,10,5,0.30665087699890137,0.00016307830810546875,Y,3824
12,12,100,10,5,0.3193490505218506,5.888938903808594e-05,Y,3824
12,12,100,10,5,0.34494805335998535,0.021896839141845703,Y,3842
12,12,100,10,5,0.3218998908996582,0.013538122177124023,Y,3842
12,12,100,10,5,0.32105207443237305,0.00016617774963378906,Y,3842
12,12,100,10,5,0.31578922271728516,5.1975250244140625e-05,Y,3842
12,12,100,10,5,0.31402015686035156,0.020081043243408203,Y,3846
12,12,100,10,5,0.3191249370574951,0.01152801513671875,Y,3846
12,12,100,10,5,0.3297460079193115,0.00017571449279785156,Y,3846
12,12,100,10,5,0.3054368495941162,5.4836273193359375e-05,Y,3846
12,12,100,10,5,0.3243141174316406,0.022068262100219727,Y,3807
12,12,100,10,5,0.32573723793029785,0.011936187744140625,Y,3807
12,12,100,10,5,0.32491374015808105,0.0001728534698486328,Y,3807
12,12,100,10,5,0.32708096504211426,5.698204040527344e-05,Y,3807
12,12,100,10,5,0.3289060592651367,0.01959681510925293,Y,3819
12,12,100,10,5,0.3195350170135498,0.009036064147949219,Y,3819
12,12,100,10,5,0.32868194580078125,0.0001819133758544922,Y,3819
12,12,100,10,5,0.3257160186767578,5.4836273193359375e-05,Y,3819
12,12,100,10,5,0.32741308212280273,0.024313926696777344,Y,3842
12,12,100,10,5,0.3262779712677002,0.010756969451904297,Y,3842
12,12,100,10,5,0.3307759761810303,0.00019311904907226562,Y,3842
12,12,100,10,5,0.32200193405151367,5.698204040527344e-05,Y,3842
12,12,100,10,5,0.32243990898132324,0.02000117301940918,Y,3790
12,12,100,10,5,0.3325948715209961,0.015239953994750977,Y,3790
12,12,100,10,5,0.32129812240600586,0.00016999244689941406,Y,3790
12,12,100,10,5,0.3219780921936035,6.222724914550781e-05,Y,3790
12,12,100,10,5,0.327923059463501,0.01697397232055664,Y,3795
12,12,100,10,5,0.32407498359680176,0.00967097282409668,Y,3795
12,12,100,10,5,0.3394482135772705,0.00019097328186035156,Y,3795
12,12,100,10,5,0.334583044052124,5.7220458984375e-05,Y,3795
12,12,200,15,8,1.4963271617889404,0.29398012161254883,Y,7777
12,12,200,15,8,1.4879438877105713,0.10205531120300293,Y,7777
12,12,200,15,8,1.4724690914154053,0.00043892860412597656,Y,7777
12,12,200,15,8,1.4773931503295898,0.00010514259338378906,Y,7777
12,12,200,15,8,1.509883165359497,0.1551978588104248,Y,7814
12,12,200,15,8,1.5312020778656006,0.08878707885742188,Y,7814
12,12,200,15,8,1.5258231163024902,0.0004229545593261719,Y,7814
12,12,200,15,8,1.5086560249328613,0.00011897087097167969,Y,7814
12,12,200,15,8,1.5270359516143799,0.14828920364379883,Y,7747
12,12,200,15,8,1.5333101749420166,0.14913010597229004,Y,7747
12,12,200,15,8,1.5376629829406738,0.00044798851013183594,Y,7747
12,12,200,15,8,1.5428950786590576,0.0001239776611328125,Y,7747
12,12,200,15,8,1.5291450023651123,0.2526829242706299,Y,7671
12,12,200,15,8,1.5553290843963623,0.054216861724853516,Y,7671
12,12,200,15,8,1.5421411991119385,0.0004799365997314453,Y,7671
12,12,200,15,8,1.516794204711914,0.00011992454528808594,Y,7671
12,12,200,15,8,1.5628352165222168,0.2870750427246094,Y,7758
12,12,200,15,8,1.563875675201416,0.04753899574279785,Y,7758
12,12,200,15,8,1.5847771167755127,0.0004329681396484375,Y,7758
12,12,200,15,8,1.6087911128997803,0.00010395050048828125,Y,7758
12,12,200,15,8,1.6269488334655762,0.172407865524292,Y,7668
12,12,200,15,8,1.575537919998169,0.1382598876953125,Y,7668
12,12,200,15,8,1.5576648712158203,0.00047278404235839844,Y,7668
12,12,200,15,8,1.575265884399414,0.00014090538024902344,Y,7668
12,12,200,15,8,1.5832138061523438,0.24922800064086914,Y,7685
12,12,200,15,8,1.63047194480896,0.12348103523254395,Y,7685
