c,d,n,k,r,gen_time,solve_time,valid,sel_len
12,12,10,4,2,0.0034741570000000055,0.00015800700000000167,Y,253
12,12,10,4,2,0.003335646999999997,0.00012305799999999534,Y,253
12,12,10,4,2,0.0033506339999999912,0.00011943500000000107,Y,256
12,12,10,4,2,0.0033361430000000136,0.0001207649999999949,Y,248
12,12,10,4,2,0.003335801999999999,0.00012420500000000223,Y,255
12,12,10,4,2,0.003313963000000003,0.00012110399999999688,Y,256
12,12,10,4,2,0.003332558999999999,0.0001348689999999958,Y,258
12,12,10,4,2,0.0033695470000000005,0.00013006899999999655,Y,259
12,12,10,4,2,0.003362535,0.00012335299999999272,Y,257
12,12,10,4,2,0.0033826679999999915,0.00012313599999999592,Y,265
12,8,10,4,2,0.0024397859999999993,0.0001268199999999997,Y,171
12,8,10,4,2,0.0020627380000000084,0.00010098899999999578,Y,172
12,8,10,4,2,0.0020603439999999917,0.0001007459999999849,Y,173
12,8,10,4,2,0.0020914100000000158,0.00010249099999998235,Y,172
12,8,10,4,2,0.0020205719999999983,0.00010127699999998296,Y,170
12,8,10,4,2,0.0020572149999999734,0.00010344100000000966,Y,170
12,8,10,4,2,0.002084521000000006,0.00010141299999999465,Y,176
12,8,10,4,2,0.002047152999999996,9.977199999999797e-05,Y,169
12,8,10,4,2,0.0020399859999999936,9.929699999999819e-05,Y,179
12,8,10,4,2,0.002087323000000002,0.00010025199999999512,Y,174
12,4,10,4,2,0.0013123160000000078,9.622000000000797e-05,Y,94
12,4,10,4,2,0.0013473870000000054,9.98049999999806e-05,Y,90
12,4,10,4,2,0.0013068539999999962,0.00010056299999999796,Y,92
12,4,10,4,2,0.0013318250000000087,9.850799999999715e-05,Y,93
12,4,10,4,2,0.0013038589999999906,0.00010026099999999039,Y,88
12,4,10,4,2,0.001323589000000014,9.7638000000011e-05,Y,86
12,4,10,4,2,0.0013037020000000177,9.94259999999858e-05,Y,93
12,4,10,4,2,0.0013070249999999894,9.772399999999348e-05,Y,91
12,4,10,4,2,0.00129633400000001,0.0001001270000000054,Y,89
12,4,10,4,2,0.0013032070000000007,9.786699999997373e-05,Y,87
8,8,10,4,2,0.0020622290000000265,0.00010209799999999492,Y,168
8,8,10,4,2,0.0020509749999999827,0.00010159499999998212,Y,164
8,8,10,4,2,0.0020416240000000196,9.872100000002382e-05,Y,165
8,8,10,4,2,0.0020628750000000196,0.00010295999999998529,Y,166
8,8,10,4,2,0.002066912000000004,0.0001002529999999946,Y,169
8,8,10,4,2,0.0020564040000000117,0.00010063799999998624,Y,170
8,8,10,4,2,0.002040307000000019,0.00010439400000000765,Y,167
8,8,10,4,2,0.0020506660000000065,0.00010372300000000001,Y,162
8,8,10,4,2,0.0020068239999999904,0.00010383999999999394,Y,158
8,8,10,4,2,0.0020323150000000068,0.00010180100000001246,Y,164
8,4,10,4,2,0.001326303000000001,0.00010168399999999078,Y,88
8,4,10,4,2,0.0012914270000000116,0.00010104899999999195,Y,86
8,4,10,4,2,0.0012988750000000049,9.776200000000124e-05,Y,87
8,4,10,4,2,0.001301724000000004,9.967600000002075e-05,Y,86
8,4,10,4,2,0.001314845000000009,9.784900000001095e-05,Y,90
8,4,10,4,2,0.0013456180000000206,9.700600000001058e-05,Y,89
8,4,10,4,2,0.0012939120000000082,9.769500000000875e-05,Y,89
8,4,10,4,2,0.001310052000000006,9.747500000001352e-05,Y,86
8,4,10,4,2,0.0012914410000000043,0.00010011700000001067,Y,86
8,4,10,4,2,0.0013331960000000087,0.00010002000000000622,Y,87
4,4,10,4,2,0.0012595420000000024,9.9884999999994e-05,Y,76
