c,d,n,k,r,gen_time,solve_time,valid,sel_len
12,12,10,4,2,0.0023877570000000042,0.00010137099999999594,Y,254
12,12,10,4,2,0.002173491999999999,8.914699999999776e-05,Y,252
12,12,10,4,2,0.0021765870000000007,9.160199999999619e-05,Y,252
12,12,10,4,2,0.002177688000000004,8.956400000000031e-05,Y,260
12,12,10,4,2,0.0021693159999999975,8.956699999999873e-05,Y,258
12,12,10,4,2,0.002193160999999999,9.037399999999723e-05,Y,261
12,12,10,4,2,0.002186346999999998,9.057099999999763e-05,Y,259
12,12,10,4,2,0.002136915000000003,8.869499999999975e-05,Y,248
12,12,10,4,2,0.002167273999999997,9.562200000000354e-05,Y,257
12,12,10,4,2,0.0021513629999999895,9.296999999999778e-05,Y,253
12,8,10,4,2,0.0015796599999999966,8.754899999999233e-05,Y,173
12,8,10,4,2,0.0015963179999999993,8.78549999999978e-05,Y,176
12,8,10,4,2,0.0015803100000000014,8.480900000000513e-05,Y,173
12,8,10,4,2,0.0015912109999999952,8.649500000000587e-05,Y,174
12,8,10,4,2,0.0015728309999999968,8.816400000000169e-05,Y,168
12,8,10,4,2,0.0016153459999999897,8.906899999999718e-05,Y,172
12,8,10,4,2,0.0015879490000000052,8.77479999999986e-05,Y,174
12,8,10,4,2,0.001567854999999993,8.718700000000246e-05,Y,169
12,8,10,4,2,0.001595456000000009,8.8170999999998e-05,Y,173
12,8,10,4,2,0.0015886759999999972,8.540800000000903e-05,Y,178
12,4,10,4,2,0.0010118050000000045,8.661299999999927e-05,Y,92
12,4,10,4,2,0.0010144630000000071,8.40750000000029e-05,Y,91
12,4,10,4,2,0.001006725,8.443000000001033e-05,Y,88
12,4,10,4,2,0.0010223889999999985,8.282400000000911e-05,Y,96
12,4,10,4,2,0.0010247240000000046,8.314400000000721e-05,Y,95
12,4,10,4,2,0.0010079710000000103,8.277499999999327e-05,Y,91
12,4,10,4,2,0.001009742000000008,8.463699999999852e-05,Y,91
12,4,10,4,2,0.0010079700000000108,8.285200000000825e-05,Y,90
12,4,10,4,2,0.0010125980000000034,8.424599999999616e-05,Y,92
12,4,10,4,2,0.000997216000000009,8.702300000000551e-05,Y,89
8,8,10,4,2,0.001564062000000005,9.24469999999955e-05,Y,161
8,8,10,4,2,0.0015641369999999932,8.578300000000594e-05,Y,166
8,8,10,4,2,0.0015664449999999996,8.794000000000857e-05,Y,167
8,8,10,4,2,0.001574190000000003,8.826300000000509e-05,Y,170
8,8,10,4,2,0.0015747879999999936,8.534500000000056e-05,Y,168
8,8,10,4,2,0.0015752140000000053,8.853699999999964e-05,Y,166
8,8,10,4,2,0.0015378160000000113,8.874999999999855e-05,Y,155
8,8,10,4,2,0.0015797790000000034,8.661899999999612e-05,Y,171
8,8,10,4,2,0.0015732420000000025,8.774599999999966e-05,Y,169
8,8,10,4,2,0.0015962860000000023,8.827999999999614e-05,Y,164
8,4,10,4,2,0.0009993749999999968,8.7170999999997e-05,Y,85
8,4,10,4,2,0.0009970460000000014,8.756300000001271e-05,Y,88
8,4,10,4,2,0.0010123449999999978,8.774100000000229e-05,Y,90
8,4,10,4,2,0.0009891000000000205,8.690900000002388e-05,Y,82
8,4,10,4,2,0.0010080919999999882,8.49689999999903e-05,Y,90
8,4,10,4,2,0.001018192000000001,8.863399999997634e-05,Y,91
8,4,10,4,2,0.0009948389999999974,8.622800000002151e-05,Y,85
8,4,10,4,2,0.0010205099999999745,8.428800000001568e-05,Y,92
8,4,10,4,2,0.0009854340000000072,8.652100000000607e-05,Y,80
8,4,10,4,2,0.0010051359999999898,8.513800000001237e-05,Y,90
4,4,10,4,2,0.0009947299999999992,8.5476000000001e-05,Y,84
4,4,10,4,2,0.0010001169999999948,8.48910000000036e-05,Y,82
4,4,10,4,2,0.0009692510000000043,8.768000000000664e-05,Y,74
4,4,10,4,2,0.0009758910000000065,8.7332999999995e-05,Y,75
4,4,10,4,2,0.000987087999999997,8.713699999998714e-05,Y,79
4,4,10,4,2,0.0009715640000000081,8.47580000000181e-05,Y,74
4,4,10,4,2,0.000961746999999985,8.67330000000055e-05,Y,70
4,4,10,4,2,0.0009595829999999861,8.89500000000043e-05,Y,68
4,4,10,4,2,0.000971136999999983,8.708399999998728e-05,Y,72
4,4,10,4,2,0.0009878029999999816,8.46780000000047e-05,Y,80
3,2,10,4,2,0.0006657360000000001,8.554799999999085e-05,Y,35
3,2,10,4,2,0.000668578000000003,9.018799999999105e-05,Y,33
3,2,10,4,2,0.0006766300000000114,8.383099999997867e-05,Y,39
3,2,10,4,2,0.0006653650000000011,8.369699999999369e-05,Y,35
3,2,10,4,2,0.0006662090000000009,8.842900000000098e-05,Y,36
3,2,10,4,2,0.0006669950000000036,8.55249999999752e-05,Y,37
3,2,10,4,2,0.0006791180000000063,8.401700000001955e-05,Y,39
3,2,10,4,2,0.0006740959999999852,0.00010159800000000829,Y,38
3,2,10,4,2,0.0006610060000000195,9.004299999998411e-05,Y,33
3,2,10,4,2,0.0006685429999999937,8.744999999998893e-05,Y,36
2,3,10,4,2,0.0007710599999999901,9.822100000000944e-05,Y,41
2,3,10,4,2,0.0007673019999999975,9.391699999999892e-05,Y,43
2,3,10,4,2,0.0007710009999999934,9.0971000000023e-05,Y,43
2,3,10,4,2,0.0007708089999999834,9.624599999999428e-05,Y,46
2,3,10,4,2,0.0007753530000000064,9.086199999999711e-05,Y,43
2,3,10,4,2,0.0007684550000000012,9.393899999998734e-05,Y,43
2,3,10,4,2,0.0007714659999999984,9.005100000000765e-05,Y,44
2,3,10,4,2,0.000770090000000001,9.879400000001315e-05,Y,42
2,3,10,4,2,0.0007627090000000003,9.437200000000923e-05,Y,40
2,3,10,4,2,0.0007690790000000058,0.00011175800000001734,Y,42
2,2,10,4,2,0.0006537169999999981,9.842100000001519e-05,Y,31
2,2,10,4,2,0.0006620960000000009,9.33540000000177e-05,Y,31
2,2,10,4,2,0.0006743079999999846,9.218399999999516e-05,Y,29
2,2,10,4,2,0.0006572200000000139,8.616200000000074e-05,Y,30
