c,d,n,k,r,gen_time,solve_time,valid,sel_len
12,12,300,18,9,13.628885277,1.7103097269999998,Y,11185
12,12,300,18,9,13.644624704000002,1.7769719699999982,Y,11190
12,12,300,18,9,13.592030853999994,1.6980150150000028,Y,11168
12,12,300,18,9,13.637721965999994,1.7261916710000094,Y,11183
12,12,300,18,9,13.605180653000005,1.9319134540000107,Y,11146
12,12,300,18,9,13.620442648000008,1.7259612229999988,Y,11228
12,12,300,18,9,13.605742077000002,1.9115085779999816,Y,11178
12,12,300,18,9,13.589108369999991,2.072057275999981,Y,11192
12,12,300,18,9,13.625706404999988,1.926827916999983,Y,11194
12,12,300,18,9,13.620614711999991,2.0463969260000283,Y,11219
12,12,400,20,10,30.65291696899999,4.047972029999954,Y,14000
12,12,400,20,10,30.537426665999988,4.346801295000006,Y,13945
12,12,400,20,10,30.558130205999987,4.07600977900006,Y,14048
12,12,400,20,10,30.59245522899994,4.024972724999998,Y,14009
12,12,400,20,10,30.587578275000055,3.907416076000061,Y,14016
12,12,400,20,10,30.630748865999976,4.028789148000044,Y,14088
12,12,400,20,10,30.56615839599999,3.7087664389999873,Y,14048
12,12,400,20,10,30.49377421600002,3.995577413000035,Y,14035
12,12,400,20,10,30.54106083000005,4.251804309999898,Y,14005
12,12,400,20,10,30.455571834999944,4.016622608999967,Y,13985
12,12,500,23,12,48.99504242099994,7.842818174999991,Y,17328
12,12,500,23,12,48.88339536700016,7.417972722000172,Y,17305
12,12,500,23,12,49.08029159700004,7.773862280999992,Y,17298
12,12,500,23,12,48.914000016000045,7.721370616000058,Y,17309
12,12,500,23,12,49.04151168700014,7.1401058170004035,Y,17380
12,12,500,23,12,48.9901935879999,6.844579760999977,Y,17325
12,12,500,23,12,49.07593912899995,7.718023533000064,Y,17236
12,12,500,23,12,49.100483443999906,7.99013971699992,Y,17362
12,12,500,23,12,49.01802445700014,7.5768432439998605,Y,17298
12,12,500,23,12,49.010700107999924,7.277904207000006,Y,17356
12,8,300,18,9,9.110159088000046,1.884427131999928,Y,7427
12,8,300,18,9,9.119420271000081,1.8839205049998782,Y,7467
12,8,300,18,9,9.115327204000096,2.1507013509999524,Y,7474
