n,f,c,d,time,sched_len
10,4,12,12,0.015624028999999998,7402
10,4,12,8,0.011152011000000003,4964
10,4,12,4,0.007214462000000005,2644
10,4,8,8,0.010791969999999998,4362
10,4,8,4,0.007035083999999983,2426
20,5,12,12,0.073238355,25334
20,5,12,8,0.05068199499999998,17240
20,5,12,4,0.027917966000000016,8346
20,5,8,8,0.0418096,13064
20,5,8,4,0.02480692000000001,6538
30,6,12,12,0.17175592800000006,37320
30,6,12,8,0.12236533800000005,25696
30,6,12,4,0.06811703299999994,12986
30,6,8,8,0.11910253500000001,20094
30,6,8,4,0.06704929299999995,9980
40,7,12,12,0.37562268099999996,51616
40,7,12,8,0.2612473820000001,34376
40,7,12,4,0.1432022609999999,17226
40,7,8,8,0.2549910340000001,25732
40,7,8,4,0.13982317499999986,13022
50,8,12,12,0.5947898839999999,62322
50,8,12,8,0.4119255490000002,42772
50,8,12,4,0.22478888799999996,21274
50,8,8,8,0.3985688859999996,32416
50,8,8,4,0.2203498690000001,16394
60,8,12,12,0.9035734679999998,70816
60,8,12,8,0.5992515860000003,46870
60,8,12,4,0.3422930500000003,24380
60,8,8,8,0.5803830890000006,35194
60,8,8,4,0.32768755699999996,18066
70,9,12,12,1.3543408329999993,107084
70,9,12,8,0.9294658120000001,71312
70,9,12,4,0.5153732499999997,35452
70,9,8,8,0.9075668270000001,52374
70,9,8,4,0.5264416789999995,26244
80,9,12,12,1.8114779940000005,114600
80,9,12,8,1.2676050599999993,77576
80,9,12,4,0.6965715580000005,39112
80,9,8,8,1.2355764380000007,56694
80,9,8,4,0.6879666699999998,28476
90,10,12,12,2.6101042119999995,129630
90,10,12,8,1.7961544499999995,86550
90,10,12,4,0.9910856790000011,43458
90,10,8,8,1.751587520000001,61750
90,10,8,4,1.0000509710000003,30918
100,10,12,12,3.2758640350000015,137348
100,10,12,8,2.272885068000001,91092
100,10,12,4,1.272640153000001,46650
100,10,8,8,2.208494402000003,64348
100,10,8,4,1.2614192870000025,33322
200,15,12,12,18.765908495999994,249414
200,15,12,8,13.102694632000002,167860
200,15,12,4,7.926276083000005,86100
200,15,8,8,13.814215972,118092
200,15,8,4,11.094149857999994,60616
300,18,12,12,57.012173516000004,394310
300,18,12,8,43.673528621,262916
300,18,12,4,33.71711032100001,131402
300,18,8,8,78.61577640000002,182740
300,18,8,4,78.66534115399998,91652
400,20,12,12,141.15282435800003,464722
400,20,12,8,108.03849877300001,310192
400,20,12,4,105.50734980499999,155246
400,20,8,8,236.54071824799996,210976
