n,f,c,d,time,sched_len
10,2,12,12,0.007816154000000006,3450
10,2,12,8,0.005341496000000001,2304
10,2,12,4,0.0034061519999999956,1212
10,2,8,8,0.005257467999999987,2024
10,2,8,4,0.003390408999999997,1074
20,2,12,12,0.028063668,6678
20,2,12,8,0.019102699,4372
20,2,12,4,0.011061236000000002,2176
20,2,8,8,0.018340677,3476
20,2,8,4,0.010440298000000015,1720
30,2,12,12,0.06310012699999998,8940
30,2,12,8,0.04272249699999997,5998
30,2,12,4,0.02030728300000001,3008
30,2,8,8,0.035337651000000025,4460
30,2,8,4,0.019527114000000012,2298
40,2,12,12,0.09603801900000003,10536
40,2,12,8,0.06588164499999993,7032
40,2,12,4,0.035109868999999905,3560
40,2,8,8,0.062052293000000036,5074
40,2,8,4,0.03419625199999998,2570
50,2,12,12,0.14911048699999996,11618
50,2,12,8,0.10274295300000003,7882
50,2,12,4,0.05490248099999995,3998
50,2,8,8,0.09881346200000007,5556
50,2,8,4,0.05274366600000002,2806
60,2,12,12,0.2202142330000001,12636
60,2,12,8,0.14850923900000002,8372
60,2,12,4,0.08035134099999985,4380
60,2,8,8,0.1429452280000001,5778
60,2,8,4,0.07744849000000009,3028
70,2,12,12,0.2965002229999998,13204
70,2,12,8,0.19992658600000013,8772
70,2,12,4,0.10597204999999965,4420
70,2,8,8,0.1925343869999998,6012
70,2,8,4,0.10415109699999991,3044
80,2,12,12,0.39688689199999994,13898
80,2,12,8,0.27788134200000014,9384
80,2,12,4,0.1428314610000001,4730
80,2,8,8,0.2677061789999997,6404
80,2,8,4,0.1395186599999998,3242
90,2,12,12,0.4987263030000002,14232
90,2,12,8,0.335474069,9480
90,2,12,4,0.17769084499999988,4794
90,2,8,8,0.3246953939999999,6396
90,2,8,4,0.17630886899999965,3252
100,2,12,12,0.6270714770000003,14766
100,2,12,8,0.4319229419999999,9784
100,2,12,4,0.2223714879999994,5074
100,2,8,8,0.41137987499999973,6606
100,2,8,4,0.22171934000000082,3444
200,2,12,12,2.7905667259999998,17090
200,2,12,8,1.8640454870000003,11546
200,2,12,4,1.0183153100000002,6008
200,2,8,8,1.8748540449999993,7768
200,2,8,4,1.0400118259999989,4072
300,2,12,12,6.556339812999999,18516
300,2,12,8,4.471842615,12444
300,2,12,4,2.358972301999998,6372
300,2,8,8,4.686882956999998,8396
300,2,8,4,2.550851614999999,4348
400,2,12,12,12.742546898,19408
400,2,12,8,8.307420703999995,13072
400,2,12,4,4.602276094000004,6736
400,2,8,8,9.136619407000005,8848
400,2,8,4,5.242789338000009,4624
500,2,12,12,19.730124271999998,20300
500,2,12,8,13.69692456,13700
500,2,12,4,7.041209709,7100
500,2,8,8,15.550733031999982,9300
500,2,8,4,9.12855367100002,4900
10,2,12,12,0.006873579000000518,3154
10,2,12,8,0.004771362999974826,2252
10,2,12,4,0.0031445850000011433,1244
10,2,8,8,0.004641026999991027,1922
10,2,8,4,0.0030782819999899402,1084
20,2,12,12,0.024299089999999524,6658
20,2,12,8,0.01646553800000561,4370
20,2,12,4,0.009365190000011125,2202
20,2,8,8,0.015722207999999682,3436
20,2,8,4,0.00899547499997766,1756
30,2,12,12,0.053076381000011,8836
30,2,12,8,0.037511332000008224,6144
