n,f,c,d,time,sched_len
10,4,12,12,0.015622064000000005,7538
10,4,12,8,0.011199649999999992,5032
10,4,12,4,0.007222868000000007,2540
10,4,8,8,0.010937323999999998,4594
10,4,8,4,0.007069957000000002,2398
20,5,12,12,0.07297673600000001,25302
20,5,12,8,0.051042476,17118
20,5,12,4,0.025383481999999957,8454
20,5,8,8,0.04196510999999997,13242
20,5,8,4,0.024600938000000017,6640
30,6,12,12,0.171723399,37766
30,6,12,8,0.12127044399999998,25708
30,6,12,4,0.06782679200000008,12946
30,6,8,8,0.116888824,19862
30,6,8,4,0.06627390300000002,10056
40,7,12,12,0.37173764399999987,51176
40,7,12,8,0.2564970459999998,34480
40,7,12,4,0.1468336320000001,16924
40,7,8,8,0.24788141499999994,25808
40,7,8,4,0.13934957199999976,12958
50,8,12,12,0.5866198799999998,62638
50,8,12,8,0.41165767200000003,42688
50,8,12,4,0.22762666300000012,21268
50,8,8,8,0.39835957099999986,32502
50,8,8,4,0.22207127000000026,16414
60,8,12,12,0.8876323479999995,71192
60,8,12,8,0.5871827439999997,46854
60,8,12,4,0.3294815529999999,24142
60,8,8,8,0.5831269089999997,35160
60,8,8,4,0.32784894,18144
70,9,12,12,1.3387454559999998,106320
70,9,12,8,0.9253406300000009,71192
70,9,12,4,0.50735347,35558
70,9,8,8,0.8958556820000005,52286
70,9,8,4,0.5202708170000001,26084
80,9,12,12,1.8011547710000002,114278
80,9,12,8,1.2608470050000005,77530
80,9,12,4,0.6947720230000005,38846
80,9,8,8,1.2412690509999997,56412
80,9,8,4,0.6845792799999995,28466
90,10,12,12,2.5732727690000026,129682
90,10,12,8,1.7736812879999988,86744
90,10,12,4,1.004558381999999,43202
90,10,8,8,1.7322681369999984,61448
90,10,8,4,0.9878750220000008,31062
100,10,12,12,3.20671561,137526
100,10,12,8,2.1965384970000024,90922
100,10,12,4,1.2488809879999998,46778
100,10,8,8,2.1663274820000034,64280
100,10,8,4,1.261252639999995,33152
200,15,12,12,18.174286277,249620
200,15,12,8,12.704961416999993,167918
200,15,12,4,7.652144620999991,86034
200,15,8,8,13.47224755100001,118086
200,15,8,4,11.447861685999996,60546
300,18,12,12,55.776971703,393784
300,18,12,8,41.63618144899999,262794
300,18,12,4,33.218223752,131348
300,18,8,8,74.77976652799998,182960
300,18,8,4,82.38810517799999,91632
400,20,12,12,125.98983721300004,465982
400,20,12,8,112.21864182999997,309902
400,20,12,4,101.27756569300004,155434
400,20,8,8,243.50726915899997,211060
400,20,8,4,308.4099071669999,105732
500,23,12,12,289.28359845800014,564606
500,23,12,8,260.52202769999985,376872
500,23,12,4,318.32907818200033,188532
500,23,8,8,738.0831414139998,257120
500,23,8,4,1335.956303159,128680
10,4,12,12,0.014134377000118548,7328
10,4,12,8,0.009992323000005854,5094
10,4,12,4,0.006656106000264117,2700
10,4,8,8,0.009600205999959144,4364
10,4,8,4,0.0064043499996842,2296
20,5,12,12,0.06269494400021358,25324
20,5,12,8,0.043924693999542797,17144
20,5,12,4,0.02601876100015943,8362
20,5,8,8,0.04435860000012326,13246
20,5,8,4,0.02518700299970078,6530
30,6,12,12,0.17225796599996102,38002
30,6,12,8,0.12212014400029148,25270
30,6,12,4,0.0681857730005504,12612
30,6,8,8,0.11727841999982047,19728
30,6,8,4,0.06697151899970777,10032
40,7,12,12,0.3706731090005633,51338
40,7,12,8,0.2586157400000957,34418
40,7,12,4,0.14719119399978808,16996
40,7,8,8,0.2543535699996937,26084
40,7,8,4,0.14103261700074654,12980
50,8,12,12,0.5899598269998023,62748
50,8,12,8,0.4124143439994441,42504
50,8,12,4,0.23317718199996307,21508
50,8,8,8,0.3972451290001118,32426
50,8,8,4,0.22005168799933017,16178
60,8,12,12,0.8743497360001129,70728
60,8,12,8,0.5974177810003312,46556
60,8,12,4,0.33313476300008915,24106
60,8,8,8,0.5720503459997417,35186
60,8,8,4,0.3309711329993661,18050
70,9,12,12,1.324219207999704,106374
70,9,12,8,0.9176082420008242,70942
70,9,12,4,0.5129373390000183,35548
70,9,8,8,0.9137914390003061,52094
70,9,8,4,0.5109338559996104,26140
80,9,12,12,1.809823666999364,114036
80,9,12,8,1.2547575120006513,77720
80,9,12,4,0.7057959109997682,38782
80,9,8,8,1.237981597999351,56464
80,9,8,4,0.6813327050003863,28308
90,10,12,12,2.577736850000292,130028
90,10,12,8,1.789019988000291,86030
90,10,12,4,0.9855756180004391,43358
90,10,8,8,1.7266422080001576,61476
90,10,8,4,1.0021565590004684,31036
100,10,12,12,3.2454722810007297,137878
100,10,12,8,2.2327213019998453,91462
100,10,12,4,1.232123873999626,46616
100,10,8,8,2.138268233999952,64318
100,10,8,4,1.2751288689996727,33150
200,15,12,12,18.013535389000026,249922
200,15,12,8,12.471166131000246,167924
200,15,12,4,7.809157327000321,86124
200,15,8,8,13.452164301000266,118152
200,15,8,4,10.863445326000146,60628
300,18,12,12,56.55948402800004,394082
300,18,12,8,42.37282724799934,262894
300,18,12,4,32.53737265899963,131694
300,18,8,8,76.79583165099939,182834
300,18,8,4,75.54418184099995,91790
400,20,12,12,132.51540229300008,464674
400,20,12,8,110.30577898400043,310322
400,20,12,4,98.08788196200021,155376
400,20,8,8,244.81350893200033,210814
400,20,8,4,276.88813629700053,105644
500,23,12,12,278.61756741999943,564490
500,23,12,8,258.31875572099943,376246
500,23,12,4,330.9495168029998,188230
500,23,8,8,740.4226776920004,256918
500,23,8,4,1247.9251995150007,128858
10,4,12,12,0.014008538999405573,7394
10,4,12,8,0.00993863199983025,5134
10,4,12,4,0.006665086000793963,2652
10,4,8,8,0.009731091000503511,4492
10,4,8,4,0.0063851650011201855,2334
20,5,12,12,0.062163802000213764,25294
20,5,12,8,0.043782501999885426,16876
20,5,12,4,0.025975116999688908,8430
20,5,8,8,0.04207028199925844,13276
20,5,8,4,0.025069664001421188,6630
30,6,12,12,0.1732411150005646,37808
30,6,12,8,0.1223474910002551,25656
30,6,12,4,0.06855266900129209,12682
30,6,8,8,0.12069391200020618,19790
30,6,8,4,0.06707270000151766,10100
40,7,12,12,0.3735304059991904,51520
40,7,12,8,0.2594006309991528,34220
40,7,12,4,0.1430256299991015,16966
40,7,8,8,0.2500804020000942,25828
40,7,8,4,0.14340212500064808,12906
50,8,12,12,0.5902208389998123,62706
50,8,12,8,0.4084343579997949,42744
50,8,12,4,0.22546672899989062,21162
50,8,8,8,0.39783925199844816,32582
50,8,8,4,0.22130915200068557,16324
60,8,12,12,0.8621125270001357,70996
60,8,12,8,0.5904929119988083,47048
60,8,12,4,0.33643457399921317,24078
60,8,8,8,0.5733377939995989,34936
60,8,8,4,0.32015639699966414,17948
70,9,12,12,1.3252305910009454,107118
70,9,12,8,0.9321968300009758,71106
70,9,12,4,0.5169250770013605,35594
70,9,8,8,0.8981661979996716,52050
70,9,8,4,0.5200949810005113,26320
80,9,12,12,1.7934496359994228,114696
80,9,12,8,1.2593192720014486,78046
80,9,12,4,0.7091433349996805,38856
80,9,8,8,1.234732630000508,56620
80,9,8,4,0.686710628999208,28172
90,10,12,12,2.566587041001185,130020
90,10,12,8,1.7834115229998133,86638
90,10,12,4,0.9875678389998939,43272
90,10,8,8,1.7441314090010565,61980
90,10,8,4,0.9720702380000148,30786
100,10,12,12,3.2149401780006883,138068
100,10,12,8,2.1860843329995987,90884
100,10,12,4,1.2294328099997074,46824
100,10,8,8,2.1456966219993774,64328
100,10,8,4,1.2544145720003144,33270
200,15,12,12,18.04534574399986,250218
200,15,12,8,12.744988934999128,168000
200,15,12,4,7.704056637001486,85600
200,15,8,8,13.309488312999747,118204
200,15,8,4,10.534501758998886,60572
300,18,12,12,55.64280121199954,393894
300,18,12,8,41.81951096299963,262456
300,18,12,4,31.96927221199985,131472
300,18,8,8,77.67698440800086,182936
300,18,8,4,81.39358341000116,91446
400,20,12,12,129.0042927329996,465054
400,20,12,8,113.48505495800055,310344
400,20,12,4,100.33960625500004,155554
400,20,8,8,257.3480347650002,210866
400,20,8,4,295.8188320019999,105780
500,23,12,12,275.4182925109999,564750
500,23,12,8,246.11575286799962,375808
500,23,12,4,349.3963764679993,188616
500,23,8,8,722.6120287209997,257038
500,23,8,4,1273.4396167079994,128850
10,4,12,12,0.01397433700003603,7308
10,4,12,8,0.00992231900090701,5014
10,4,12,4,0.006725761999405222,2638
10,4,8,8,0.009674895998614375,4512
10,4,8,4,0.006427989999792771,2444
20,5,12,12,0.062145857998984866,25522
20,5,12,8,0.04374437300066347,16954
20,5,12,4,0.025970577999032685,8562
20,5,8,8,0.04230998599996383,13188
20,5,8,4,0.025059194998902967,6624
30,6,12,12,0.17198531100075343,37860
