n,f,c,d,time,sched_len
50,8,12,12,0.465097872,62768
50,8,12,8,0.32630541600000007,42938
50,8,12,4,0.1782622960000001,21434
50,8,8,8,0.3194349700000001,32540
50,8,8,4,0.173811076,16098
50,8,4,4,0.1751684229999999,9458
100,10,12,12,2.629715545,137854
100,10,12,8,1.8174434569999995,91310
100,10,12,4,1.0220905389999997,46876
100,10,8,8,1.7574653429999998,64074
100,10,8,4,1.0614234679999992,33212
100,10,4,4,2.0326362689999993,18470
200,15,12,12,15.320593211,250308
200,15,12,8,10.428640650000002,167862
200,15,12,4,6.406196348000002,86134
200,15,8,8,11.582179546000006,118174
200,15,8,4,9.160218358000002,60432
200,15,4,4,81.633296396,32172
300,18,12,12,47.25576502300001,394084
300,18,12,8,35.226825709999986,263180
300,18,12,4,29.969906735000023,131610
300,18,8,8,66.31606031500002,182736
300,18,8,4,68.46901773300004,91558
300,18,4,4,1987.7535770480001,49374
400,20,12,12,113.38754117000008,465078
400,20,12,8,99.69997661200023,310790
400,20,12,4,93.41220703499994,155336
400,20,8,8,207.00830647200019,210978
400,20,8,4,272.71790549100024,105700
