n,f,c,d,time,sched_len
50,8,12,12,0.46840515399999993,62472
50,8,12,8,0.326919881,42746
50,8,12,4,0.1799663050000001,21350
50,8,8,8,0.32145796399999993,32460
50,8,8,4,0.176144399,16324
100,10,12,12,2.6554233160000003,137330
100,10,12,8,1.8003269710000005,90642
100,10,12,4,1.0160660650000004,46750
100,10,8,8,1.7655084569999993,64510
100,10,8,4,1.044940488,33174
200,15,12,12,15.111636207,249876
200,15,12,8,10.315028676,168252
200,15,12,4,6.593602754999999,86188
200,15,8,8,11.502015528000001,118074
200,15,8,4,9.708789041000003,60640
300,18,12,12,47.78601200999999,393824
300,18,12,8,36.47046944,263244
300,18,12,4,29.125877279000008,131356
300,18,8,8,68.22870187799998,182636
300,18,8,4,70.87624189200002,91510
400,20,12,12,115.98277813099998,465394
400,20,12,8,97.19974039899995,310132
400,20,12,4,87.42183048600009,155132
400,20,8,8,211.09031083699995,211134
400,20,8,4,254.2390821429999,105706
500,23,12,12,240.99439042400013,564262
500,23,12,8,235.306779882,376346
500,23,12,4,274.73577711200005,188498
500,23,8,8,682.818256649,256934
500,23,8,4,1124.9626193519998,128698
50,8,12,12,0.4732673319999776,62692
50,8,12,8,0.3391011690000596,42772
50,8,12,4,0.18419363500015606,21168
50,8,8,8,0.32168452099995193,32566
50,8,8,4,0.17905675199972393,16286
100,10,12,12,2.650484912000138,137166
100,10,12,8,1.8124292190000233,90756
100,10,12,4,1.010836652999842,46648
100,10,8,8,1.7784527209996668,64208
100,10,8,4,1.0174305890000142,33048
200,15,12,12,15.189815219000138,249910
200,15,12,8,10.53212903099984,167920
200,15,12,4,6.530896234000011,86040
200,15,8,8,11.929163822999726,117782
200,15,8,4,9.401066506000006,60606
300,18,12,12,48.4786934509998,393976
300,18,12,8,35.82539085500002,263016
300,18,12,4,28.63695535800025,131662
300,18,8,8,67.89462469599994,182950
300,18,8,4,71.98462924200021,91522
400,20,12,12,111.95904848599957,465046
400,20,12,8,92.72677891600006,309994
400,20,12,4,88.74209795199931,155368
400,20,8,8,224.45307583999966,211166
400,20,8,4,254.59149430399975,105526
500,23,12,12,242.76890321599967,564602
500,23,12,8,220.6358145840004,376334
500,23,12,4,278.0503360469993,188486
500,23,8,8,679.6020633990001,256958
500,23,8,4,1135.210224456,128652
