n,f,c,d,time,sched_len
10,4,12,12,0.009879061000000001,7180
10,4,12,8,0.007098741999999998,5022
10,4,12,4,0.004520782000000001,2618
10,4,8,8,0.006931038000000007,4556
10,4,8,4,0.0044750590000000035,2314
20,5,12,12,0.048564695000000005,25418
20,5,12,8,0.03381295000000001,16958
20,5,12,4,0.019623688,8478
20,5,8,8,0.03273535700000002,13182
20,5,8,4,0.018994362999999986,6520
30,6,12,12,0.136926595,37670
30,6,12,8,0.09653401300000003,26002
30,6,12,4,0.054415208999999964,12974
30,6,8,8,0.09366552900000003,19870
30,6,8,4,0.05331943399999994,10186
40,7,12,12,0.302489527,51306
40,7,12,8,0.20695641700000011,34258
40,7,12,4,0.11805548800000021,17284
40,7,8,8,0.20095004699999985,25976
40,7,8,4,0.11341263800000001,13118
50,8,12,12,0.47723978200000006,62356
50,8,12,8,0.33278323899999984,42658
50,8,12,4,0.18205779,21326
50,8,8,8,0.32469874300000034,32430
50,8,8,4,0.17864626800000005,16292
60,8,12,12,0.7087984860000001,70990
60,8,12,8,0.47946111800000013,46748
60,8,12,4,0.2692936210000001,24034
60,8,8,8,0.467753192,35120
60,8,8,4,0.26741147799999965,18170
10,4,12,12,0.009795539999999998,7314
10,4,12,8,0.006994521999999996,4946
10,4,12,4,0.004493492000000002,2704
10,4,8,8,0.006745784000000005,4320
10,4,8,4,0.004390047000000008,2372
20,5,12,12,0.047548392999999994,25538
20,5,12,8,0.03324161099999999,17068
20,5,12,4,0.01928073799999999,8296
20,5,8,8,0.032372629999999986,13200
20,5,8,4,0.018636180000000002,6556
30,6,12,12,0.13500201399999998,37380
30,6,12,8,0.095135142,25508
30,6,12,4,0.05317721200000003,12742
30,6,8,8,0.09265106700000003,20064
30,6,8,4,0.051850724000000015,10118
40,7,12,12,0.29714315699999994,51162
40,7,12,8,0.20290935,34298
40,7,12,4,0.11487342800000011,17174
40,7,8,8,0.19736651400000005,26048
40,7,8,4,0.11099306499999995,13104
50,8,12,12,0.4684633600000001,62634
50,8,12,8,0.32769965999999995,42880
50,8,12,4,0.17870561299999999,21160
50,8,8,8,0.3195793410000003,32704
50,8,8,4,0.17391142299999984,16346
60,8,12,12,0.6893830319999998,70226
60,8,12,8,0.4724843980000002,47196
60,8,12,4,0.2667919999999997,24112
60,8,8,8,0.4673304380000003,34982
60,8,8,4,0.2640477350000001,18044
70,9,12,12,1.0762002799999992,106732
70,9,12,8,0.7460510469999999,71280
70,9,12,4,0.4115251949999994,35716
70,9,8,8,0.7252997810000004,51910
70,9,8,4,0.4186709799999999,26104
80,9,12,12,1.4217573970000004,114418
80,9,12,8,1.0044458659999993,78000
80,9,12,4,0.5629989539999993,38890
80,9,8,8,0.979481646,56566
80,9,8,4,0.5640016729999999,28296
10,4,12,12,0.009859675999999998,7364
10,4,12,8,0.007118836000000003,5244
10,4,12,4,0.004512931000000005,2680
10,4,8,8,0.006892517000000008,4584
10,4,8,4,0.004472693999999999,2216
20,5,12,12,0.04823965300000001,25462
20,5,12,8,0.03358504000000001,16830
20,5,12,4,0.019382165000000007,8350
20,5,8,8,0.03270293299999999,13132
20,5,8,4,0.01906424100000001,6542
30,6,12,12,0.13580993800000002,37218
30,6,12,8,0.09578284200000003,25770
